0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,label
0.02807246,0.00017303621,0.012065364,0.015247523,0.13006173,1.212191,8.365707,0.016431436,-426.5621,181.94035,-38.841404,34.641655,9.148977,12.488782,-3.1478987,-25.924053,9.608308,-14.899656,-7.7816606,2.6356673,-11.766523,1760.2609,2112.3318,163.7647,47.186813,509.51477,0.0,0.0,0.0,1
0.030440003,0.00025566405,0.012436108,0.01653023,0.15223587,1.4143323,8.109394,0.014882185,-444.33353,182.22502,-29.334415,50.663387,13.494245,17.709929,3.410562,-22.978449,10.457244,-17.868721,-7.907919,2.6015282,-14.221419,1692.9839,2255.1807,119.085785,27.29824,134.75752,0.0,0.0,0.0,1
0.026120665,0.00023026335,0.010183487,0.013104574,0.13937218,1.3006402,8.784749,0.011107453,-483.27185,165.73935,-20.298332,47.286533,3.3264363,30.530136,14.8838415,-28.840559,5.004684,-20.250572,-8.593381,4.36866,-9.853915,2121.9744,2622.2947,113.61789,22.07422,99.34159,0.0,0.0,0.0,1
0.026109932,0.00017785144,0.0102713425,0.01299472,0.12967567,1.2096726,7.039646,0.01590821,-424.85056,192.99976,-41.602238,28.893166,3.2296317,16.36448,1.7266946,-27.206005,7.3323503,-17.618296,-6.8089857,5.526677,-9.02552,1712.9434,2083.5364,147.7331,56.761044,519.6859,0.0,0.0,0.0,1
0.028087933,0.0001451957,0.012816413,0.013952823,0.13534975,1.2334484,6.329755,0.016997129,-412.76794,196.65115,-59.46552,23.704483,1.7254521,5.715832,-8.874651,-27.38843,13.620445,-15.053465,-7.685038,5.2251515,-8.811314,1800.0753,1962.0732,194.22108,38.616573,244.09238,0.0,0.0,0.0,1
0.031267837,0.00020499784,0.0141775,0.016251039,0.1517801,1.3410053,7.60147,0.012363045,-459.16345,174.47636,-32.22584,35.29961,-7.312921,11.363128,5.637418,-23.049295,11.369353,-15.215547,-5.152814,5.7496433,-9.772054,2181.4072,2475.7603,152.58289,45.15371,293.98163,0.0,0.0,0.0,1
0.028773475,0.00022566498,0.012356588,0.014863451,0.13534713,1.2311438,7.8460426,0.012560882,-458.2521,167.93164,-27.077166,40.449127,1.6959025,15.253455,6.644991,-20.5356,13.349152,-12.395552,-6.295948,2.9374478,-11.147786,2166.7407,2457.0356,127.66535,38.963,259.3766,0.0,0.0,0.0,1
0.03676256,0.00032250263,0.021646624,0.02893098,0.16777027,1.3661292,4.411315,0.01755669,-407.8873,221.6111,-59.42055,41.35797,17.787043,23.590645,-4.859629,-32.848198,7.713427,-29.050812,-8.62749,13.773358,-6.418934,1596.9395,1969.612,113.72519,5.6153045,23.13217,0.0,0.0,0.0,1
0.028961971,0.00015413036,0.013432877,0.015281296,0.13848473,1.2511566,5.3454695,0.015435706,-424.09253,189.39557,-63.21096,31.982908,8.258052,14.591464,0.974458,-25.229563,10.460891,-18.501114,-8.647391,2.531182,-12.615792,2035.8951,2113.134,188.25539,49.31442,278.66837,0.0,0.0,0.0,1
0.029028941,0.00016475805,0.013203538,0.015228899,0.14290555,1.3149415,8.532244,0.015114057,-442.22018,172.08504,-43.433556,36.017567,10.835722,19.38329,1.9955052,-27.957603,7.1887374,-15.706069,-7.849482,1.7120577,-12.622726,2039.0134,2275.1199,176.56139,51.938564,263.46667,0.0,0.0,0.0,1
